year,country,cluster_k3
2017,Afghanistan,1
2017,Albania,0
2017,Algeria,0
2017,Angola,1
2017,Argentina,0
2017,Armenia,0
2017,Australia,2
2017,Austria,2
2017,Azerbaijan,0
2017,Bahrain,2
2017,Bangladesh,1
2017,Belarus,0
2017,Belgium,2
2017,Belize,0
2017,Benin,1
2017,Bhutan,2
2017,Bolivia,0
2017,Bosnia and Herzegovina,0
2017,Botswana,0
2017,Brazil,0
2017,Bulgaria,0
2017,Burkina Faso,1
2017,Burundi,1
2017,Cambodia,1
2017,Cameroon,1
2017,Canada,2
2017,Central African Republic,1
2017,Chad,1
2017,Chile,0
2017,China,0
2017,Colombia,0
2017,Congo (Brazzaville),1
2017,Congo (Kinshasa),1
2017,Costa Rica,0
2017,Croatia,0
2017,Cyprus,0
2017,Czech Republic,0
2017,Denmark,2
2017,Dominican Republic,0
2017,Ecuador,0
2017,Egypt,0
2017,El Salvador,0
2017,Estonia,0
2017,Ethiopia,1
2017,Finland,2
2017,France,0
2017,Gabon,0
2017,Georgia,1
2017,Germany,2
2017,Ghana,1
2017,Greece,0
2017,Guatemala,0
2017,Guinea,1
2017,Haiti,1
2017,Honduras,0
2017,"Hong Kong S.A.R., China",2
2017,Hungary,0
2017,Iceland,2
2017,India,1
2017,Indonesia,0
2017,Iran,0
2017,Iraq,0
2017,Ireland,2
2017,Israel,0
2017,Italy,0
2017,Ivory Coast,1
2017,Jamaica,0
2017,Japan,0
2017,Jordan,0
2017,Kazakhstan,0
2017,Kenya,1
2017,Kosovo,0
2017,Kuwait,2
2017,Kyrgyzstan,0
2017,Latvia,0
2017,Lebanon,0
2017,Lesotho,1
2017,Liberia,1
2017,Libya,0
2017,Lithuania,0
2017,Luxembourg,2
2017,Madagascar,1
2017,Malawi,1
2017,Malaysia,0
2017,Mali,1
2017,Malta,2
2017,Mauritania,1
2017,Mauritius,0
2017,Mexico,0
2017,Moldova,0
2017,Mongolia,0
2017,Montenegro,0
2017,Morocco,0
2017,Mozambique,1
2017,Myanmar,1
2017,Namibia,0
2017,Nepal,1
2017,Netherlands,2
2017,New Zealand,2
2017,Nicaragua,0
2017,Niger,1
2017,Nigeria,1
2017,North Cyprus,0
2017,North Macedonia,0
2017,Norway,2
2017,Pakistan,1
2017,Palestinian Territories,0
2017,Panama,0
2017,Paraguay,0
2017,Peru,0
2017,Philippines,0
2017,Poland,0
2017,Portugal,0
2017,Qatar,2
2017,Romania,0
2017,Russia,0
2017,Rwanda,1
2017,Saudi Arabia,2
2017,Senegal,1
2017,Serbia,0
2017,Sierra Leone,1
2017,Singapore,2
2017,Slovakia,0
2017,Slovenia,0
2017,Somalia,1
2017,South Africa,0
2017,South Korea,0
2017,South Sudan,1
2017,Spain,0
2017,Sri Lanka,0
2017,Sudan,1
2017,Sweden,2
2017,Switzerland,2
2017,Syria,1
2017,Taiwan Province of China,0
2017,Tajikistan,0
2017,Tanzania,1
2017,Thailand,2
2017,Togo,1
2017,Trinidad and Tobago,0
2017,Tunisia,0
2017,Turkey,0
2017,Turkmenistan,2
2017,Uganda,1
2017,Ukraine,0
2017,United Arab Emirates,2
2017,United Kingdom,2
2017,United States,2
2017,Uruguay,0
2017,Uzbekistan,2
2017,Venezuela,0
2017,Vietnam,0
2017,Yemen,1
2017,Zambia,1
2017,Zimbabwe,1
