year,eps,min_samples,n_clusters,n_noise
2015,0.6,3,4,144
2015,0.6,4,1,153
2015,0.6,5,1,153
2015,0.8,3,12,104
2015,0.8,4,5,129
2015,0.8,5,4,137
2015,1.0,3,5,61
2015,1.0,4,4,69
2015,1.0,5,5,77
2015,1.2,3,1,27
2015,1.2,4,2,34
2015,1.2,5,2,41
2016,0.6,3,3,145
2016,0.6,4,1,152
2016,0.6,5,1,152
2016,0.8,3,9,103
2016,0.8,4,5,122
2016,0.8,5,2,138
2016,1.0,3,6,54
2016,1.0,4,5,63
2016,1.0,5,3,84
2016,1.2,3,1,27
2016,1.2,4,1,32
2016,1.2,5,1,39
2017,0.6,3,5,135
2017,0.6,4,1,151
2017,0.6,5,0,155
2017,0.8,3,10,93
2017,0.8,4,4,114
2017,0.8,5,2,127
2017,1.0,3,8,48
2017,1.0,4,7,63
2017,1.0,5,4,82
2017,1.2,3,3,29
2017,1.2,4,1,35
2017,1.2,5,1,43
2018,0.6,3,3,144
2018,0.6,4,1,151
2018,0.6,5,0,155
2018,0.8,3,7,97
2018,0.8,4,5,110
2018,0.8,5,3,122
2018,1.0,3,10,51
2018,1.0,4,4,78
2018,1.0,5,5,80
2018,1.2,3,5,19
2018,1.2,4,4,24
2018,1.2,5,3,37
2019,0.6,3,2,138
2019,0.6,4,2,141
2019,0.6,5,2,146
2019,0.8,3,6,98
2019,0.8,4,4,110
2019,0.8,5,5,113
2019,1.0,3,4,53
2019,1.0,4,4,59
2019,1.0,5,6,67
2019,1.2,3,2,28
2019,1.2,4,2,32
2019,1.2,5,1,38
