year,k,inertia,silhouette
2015,2,638.7014,0.278525
2015,3,481.9671,0.292288
2015,4,417.9554,0.238847
2015,5,370.7743,0.241097
2015,6,337.6899,0.241632
2015,7,311.6951,0.233406
2015,8,293.113,0.232379
2015,9,269.4554,0.225757
2016,2,638.9133,0.289871
2016,3,472.8497,0.303718
2016,4,406.5617,0.247504
2016,5,357.1972,0.250163
2016,6,327.5286,0.254272
2016,7,308.4181,0.233804
2016,8,282.5566,0.230814
2016,9,269.4937,0.219315
2017,2,632.0896,0.283169
2017,3,457.0288,0.314376
2017,4,399.4147,0.278755
2017,5,353.273,0.263658
2017,6,319.9223,0.252894
2017,7,302.0978,0.247325
2017,8,284.7429,0.234551
2017,9,271.0477,0.205576
2018,2,627.99,0.290009
2018,3,446.1818,0.336474
2018,4,387.0532,0.275536
2018,5,339.207,0.272187
2018,6,305.8125,0.277148
2018,7,286.2566,0.274302
2018,8,266.4738,0.227694
2018,9,251.2621,0.215162
2019,2,622.2806,0.31937
2019,3,440.5788,0.343572
2019,4,381.8182,0.280109
2019,5,334.6605,0.256951
2019,6,305.2389,0.254376
2019,7,284.0078,0.243491
2019,8,263.4827,0.236165
2019,9,248.2183,0.217035
