year,configuration,k_input,n_clusters,n_noise,inertia,silhouette,davies_bouldin,calinski_harabasz,sizes
2015,K-Means (Z-score),3,3,0,481.9671,0.292288,1.219003,74.9378,78/29/51
2015,K-Means (Min-Max),3,3,0,20.2624,0.313058,1.147732,88.2024,31/50/77
2015,K-Means (không chuẩn hóa),3,3,0,19.7033,0.313815,1.101178,139.196,61/48/49
2015,Phân cấp Ward (Z-score),3,3,0,534.7986,0.254057,1.259276,59.8788,20/44/94
2015,DBSCAN (Z-score),3,4,69,143.4505,0.013174,0.957118,100.9148,59/14/6/10
2016,K-Means (Z-score),3,3,0,472.8497,0.303718,1.180078,76.3976,27/84/46
2016,K-Means (Min-Max),3,3,0,21.688,0.308258,1.155411,84.7361,29/45/83
2016,K-Means (không chuẩn hóa),3,3,0,18.5461,0.322155,1.066156,146.6841,64/47/46
2016,Phân cấp Ward (Z-score),3,3,0,490.1155,0.290774,1.227317,70.9937,23/79/55
2016,DBSCAN (Z-score),3,5,63,156.9013,-0.012524,0.948295,67.9808,64/18/3/5/4
2017,K-Means (Z-score),3,3,0,457.0288,0.314376,1.155152,78.6511,81/45/29
2017,K-Means (Min-Max),3,3,0,19.0124,0.331174,1.085568,90.5052,83/28/44
2017,K-Means (không chuẩn hóa),3,3,0,19.5153,0.322683,1.061951,143.9767,46/64/45
2017,Phân cấp Ward (Z-score),3,3,0,497.3472,0.286127,1.140212,66.114,21/36/98
2017,DBSCAN (Z-score),3,7,63,110.2989,-0.025067,1.203711,70.2335,38/19/6/5/16/5/3
2018,K-Means (Z-score),3,3,0,446.1818,0.336474,1.089999,82.4108,46/24/85
2018,K-Means (Min-Max),3,3,0,18.8537,0.344197,1.035397,89.8958,87/46/22
2018,K-Means (không chuẩn hóa),3,3,0,18.0621,0.317454,1.06501,146.2473,47/45/63
2018,Phân cấp Ward (Z-score),3,3,0,489.5148,0.292489,1.150261,68.3879,17/53/85
2018,DBSCAN (Z-score),3,4,78,91.4604,0.039116,0.98058,156.7857,48/15/9/5
2019,K-Means (Z-score),3,3,0,440.5788,0.343572,1.070299,86.0226,46/82/28
2019,K-Means (Min-Max),3,3,0,18.3855,0.347332,1.0239,90.1397,88/46/22
2019,K-Means (không chuẩn hóa),3,3,0,16.724,0.340478,1.005866,168.3893,66/44/46
2019,Phân cấp Ward (Z-score),3,3,0,494.7524,0.310383,1.001875,68.2269,16/35/105
2019,DBSCAN (Z-score),3,4,59,135.4177,0.059305,0.87825,120.0792,60/14/18/5
