year,configuration,mean_ari_single_init,min_ari_single_init,mean_ari_n_init_10,min_ari_n_init_10
2015,K-Means (Z-score),0.7406,0.2603,0.9903,0.9781
2015,K-Means (Min-Max),0.9129,0.3101,1.0,1.0
2015,K-Means (không chuẩn hóa),0.3475,0.3178,0.9438,0.7589
2015,Phân cấp Ward (Z-score),1.0,1.0,1.0,1.0
2015,DBSCAN (Z-score),1.0,1.0,1.0,1.0
2016,K-Means (Z-score),0.8555,0.8444,1.0,1.0
2016,K-Means (Min-Max),0.9498,0.9355,1.0,1.0
2016,K-Means (không chuẩn hóa),0.9956,0.9601,0.9933,0.9799
2016,Phân cấp Ward (Z-score),1.0,1.0,1.0,1.0
2016,DBSCAN (Z-score),1.0,1.0,1.0,1.0
2017,K-Means (Z-score),0.9531,0.8882,0.9835,0.9779
2017,K-Means (Min-Max),0.9136,0.3574,1.0,1.0
2017,K-Means (không chuẩn hóa),0.8995,0.8457,0.991,0.9596
2017,Phân cấp Ward (Z-score),1.0,1.0,1.0,1.0
2017,DBSCAN (Z-score),1.0,1.0,1.0,1.0
2018,K-Means (Z-score),0.7665,0.3067,0.9925,0.9774
2018,K-Means (Min-Max),0.929,0.3611,1.0,1.0
2018,K-Means (không chuẩn hóa),0.8351,0.7095,0.9955,0.9596
2018,Phân cấp Ward (Z-score),1.0,1.0,1.0,1.0
2018,DBSCAN (Z-score),1.0,1.0,1.0,1.0
2019,K-Means (Z-score),0.3523,0.2801,1.0,1.0
2019,K-Means (Min-Max),0.9341,0.9011,0.9815,0.9631
2019,K-Means (không chuẩn hóa),0.8414,0.6681,0.8769,0.7945
2019,Phân cấp Ward (Z-score),1.0,1.0,1.0,1.0
2019,DBSCAN (Z-score),1.0,1.0,1.0,1.0
